,,
Rk,Team,Overall
,,
1,Milwaukee Bucks,53-12
2,Los Angeles Lakers,49-14
3,Toronto Raptors,46-18
4,Los Angeles Clippers,44-20
5,Boston Celtics,43-21
6,Denver Nuggets,43-22
7,Miami Heat,41-24
8,Utah Jazz,41-23
9,Dallas Mavericks,40-27
10,Houston Rockets,40-24
11,Oklahoma City Thunder,40-24
12,Indiana Pacers,39-26
13,Philadelphia 76ers,39-26
14,Memphis Grizzlies,32-33
15,Brooklyn Nets,30-34
16,Orlando Magic,30-35
17,Portland Trail Blazers,29-37
18,New Orleans Pelicans,28-36
19,Sacramento Kings,28-36
20,San Antonio Spurs,27-36
21,Phoenix Suns,26-39
22,Washington Wizards,24-40
23,Charlotte Hornets,23-42
24,Chicago Bulls,22-43
25,New York Knicks,21-45
26,Atlanta Hawks,20-47
27,Detroit Pistons,20-46
28,Cleveland Cavaliers,19-46
29,Minnesota Timberwolves,19-45
30,Golden State Warriors,15-50